"","YEAR","MONTH","temp","pop","Assault","Burglary","Rape","Robbery","Homicide","Larceny-Theft","Motor Vehicle Theft","total"
"1",2008,1,39,602934,149,481,7,86,5,1820,269,2817
"2",2008,2,44,602934,167,570,11,118,2,1818,273,2959
"3",2008,3,44,602934,169,541,3,103,0,1609,277,2702
"4",2008,4,47,602934,202,481,13,113,9,1909,262,2989
"5",2008,5,56,602934,208,500,7,127,0,1606,302,2750
"6",2008,6,59,602934,216,519,13,111,1,1733,326,2919
"7",2008,7,65,602934,183,535,7,142,1,1792,323,2983
"8",2008,8,66,602934,225,544,16,139,0,1565,322,2811
"9",2008,9,61,602934,187,637,7,136,2,1556,320,2845
"10",2008,10,52,602934,140,714,9,117,0,1550,305,2835
"11",2008,11,49,602934,160,699,5,118,0,1590,319,2891
"12",2008,12,37,602934,148,689,6,119,0,1590,343,2895
"13",2009,1,39,616627,146,538,16,134,1,1224,270,2329
"14",2009,2,42,616627,135,661,3,98,4,1435,283,2619
"15",2009,3,42,616627,148,606,5,102,1,1419,314,2595
"16",2009,4,49,616627,182,705,5,134,4,1632,349,3011
"17",2009,5,56,616627,151,582,11,125,1,1442,346,2658
"18",2009,6,64,616627,204,563,16,147,4,1603,365,2902
"19",2009,7,70,616627,181,612,9,158,0,1640,338,2938
"20",2009,8,66,616627,175,629,4,119,3,1674,436,3040
"21",2009,9,63,616627,164,624,6,160,2,2010,414,3380
"22",2009,10,53,616627,147,585,4,168,1,1969,382,3256
"23",2009,11,47,616627,161,588,6,126,2,2089,377,3349
"24",2010,1,47,610298,180,646,8,129,1,1959,443,3366
"25",2010,2,47,610298,150,498,8,79,2,1439,370,2546
"26",2010,3,47,610298,159,549,9,137,0,2031,401,3286
"27",2010,4,50,610298,185,559,6,126,4,1869,481,3230
